Время,id отправителя,Имя,id получателя, Сообщение
00:00:06,Bcxnjoz5dWe,Елена,,привет всем
00:00:08,SOeaYOotcWx,Дмитрий,,Я из Мариуполя но сейчас в Краснодаре. Комбо 2в1)
00:00:08,Hmlbe6UhFZg,Модератор Полина,,Начинаем!!))
00:00:14,rZgpkVmxjWg,Сергей,,Добрый вечер!!!
00:00:15,SOeaYOotcWx,Дмитрий,,урва
00:00:20,HfeCkDXgoWg,Ирина,,"ПРивет,Мариуполь"
00:00:32,SGxbcwQlj-g,Михаил,,Агент ждет пока все соберутся)
00:00:34,BBgIXPmxjbl,Алексей,,Минеральные Воды на связи
00:00:40,HtxkiDQxoWe,Alex,,+
00:00:42,SGxbcwQlj-g,Михаил,,Агент ждет пока все соберутся)
00:00:42,BBgIXPmxjbl,Алексей,,Минеральные Воды на связи
00:00:42,HtxkiDQxoWe,Alex,,Привет
00:00:42,B2lXLvXeobg,Виктория Музыченко,,"Дима, привет!
Видно, слышно"
00:00:42,SzeNYrZE9-x,Svetlana,,Добрый вечер
00:00:42,SGlwKvmxiZe,Владимир Бодунов,,Здравствуйте
00:00:42,SOeaYOotcWx,Дмитрий,,+
00:00:43,r1xxnuCrg5-g,Larisa,,+++
00:00:43,rrNe3wmxsWl,Vsemil Petrov,,+++++++++++
00:00:43,HMxc68Qgs-e,Ольга,,+
00:00:43,rmxbeXXlobe,Тамара,,+
00:00:43,S5eQZPmxibe,Елена,,+*
00:00:43,BBgIXPmxjbl,Алексей,,Минеральные Воды на связи
00:00:44,BBgIXPmxjbl,Алексей,,Минеральные Воды на связи
00:00:44,BBgIXPmxjbl,Алексей,,Минеральные Воды на связи
00:00:45,ByxiW-w3Ybx,Сергей,,+
00:00:45,S2gOdohpYWe,Петрова Наталья,,+
00:00:45,BBgIXPmxjbl,Алексей,,+
00:00:45,HGe-VSXlsbe,Арменуи,,+
00:00:45,HJg6tPXliZe,Андрей Ткачук,,+
00:00:46,SwxSt_qT_bg,Владимир,,+
00:00:46,BJexcqP7gsbe,Александр Юдин,,+
00:00:46,Hhldu4jG9bx,Сергей,,++
00:00:47,SNe8tCLnt-l,Александр,,++
00:00:48,HRg7_GQejbg,Yaselda,,+
00:00:48,SGxbcwQlj-g,Михаил,,Тут много из Краснодара?
00:00:49,SXgwv5z3uWl,Корж Ирина Федоровна,,+++
00:00:49,rQgQYv7giWl,Elena,,+
00:00:49,HfeCkDXgoWg,Ирина,,+
00:00:49,SWxI3UvZc-e,Екатерина,,+
00:00:49,B2xs-P7gs-l,Анна,,+
00:00:49,Bkge71uQxoZl,Стас,,+
00:00:50,B2xs-P7gs-l,Анна,,+
00:00:50,B7gQ5wQeibx,Ansty,,+
00:00:50,H8gwmB7xsbx,Евгений,,+
00:00:50,rweiEhHn_Ze,Наталья,,+
00:00:50,B2xs-P7gs-l,Анна,,+
00:00:50,Bkge71uQxoZl,Стас,,+
00:00:51,r-zPvEOb5We,Германн,,+
00:00:51,BV-mawoZ9-x,Наталья,,+
00:00:51,SZgXHVMeibg,YaloHa,,+
00:00:51,r-zPvEOb5We,Германн,,+
00:00:51,BV-mawoZ9-x,Наталья,,+
00:00:51,SZgXHVMeibg,YaloHa,,+
00:00:51,HblL047giWe,Жалгас,,+
00:00:51,HMeATM_VF-x,Галина,,+++
00:00:52,HblL047giWe,Жалгас,,+
00:00:52,HMeATM_VF-x,Галина,,+++
00:00:53,rZgpkVmxjWg,Сергей,,+++
00:00:53,rmlrqXQaKZg,Владимир,,10
00:00:53,Skl46U7xs-x,Роман,,+
00:00:53,SGxbcwQlj-g,Михаил,,+
00:00:53,Sfx6RWPhFWl,Александра,,"У меня нет звука в трансляции, а общий звук на ПК нормальный("
00:00:54,rZgpkVmxjWg,Сергей,,+++
00:00:54,rmlrqXQaKZg,Владимир,,10
00:00:54,Skl46U7xs-x,Роман,,+
00:00:54,SGxbcwQlj-g,Михаил,,+
00:00:54,Sfx6RWPhFWl,Александра,,"У меня нет звука в трансляции, а общий звук на ПК нормальный("
00:00:58,rVgsI6uT_Zx,Dmitry Lava,,и видим и слышим
00:00:58,BegJ_ykmYWg,Виктор,,+
00:00:59,rVgsI6uT_Zx,Dmitry Lava,,и видим и слышим
00:01:04,rNgDopx2tWe,Любовь,,+++++
00:01:04,HVePMxwhK-l,Виктория,,привпет Дима
00:01:04,HYlOoMecuWe,Valentina,,+
00:01:04,S8gQKQ-w5bl,Дилара,,+++
00:01:04,ByxiW-w3Ybx,Сергей,,Добрый вечер Дмитрий!)))
00:01:05,ByxXtoziF-e,Тамара,,Добрый вечер!+
00:01:08,rNgDopx2tWe,Любовь,,+++++
00:01:09,rNgDopx2tWe,Любовь,,+++++
00:01:09,HVePMxwhK-l,Виктория,,привпет Дима
00:01:10,SxeyoP7li-x,Husen,,+++++
00:01:10,rkeGdvgm15-g,Di,,+
00:01:10,rUxtYz7goZe,Евгений,,+
00:01:10,rolaIcsRF-e,Мария,,+
00:01:10,BHgAi-tuYZx,Игорь,,+
00:01:12,rNgDopx2tWe,Любовь,,+++++
00:01:12,HVePMxwhK-l,Виктория,,привпет Дима
00:01:12,rNgDopx2tWe,Любовь,,+++++
